"comment_id","status_id","parent_id","sentence_number","sentence_id"
"101180699934084_226947","92886373210_101180699934084",-1,0,100464
"101180699934084_27286","92886373210_101180699934084",-1,0,13530
"101180699934084_27287","92886373210_101180699934084",-1,0,110562
"101180699934084_27290","92886373210_101180699934084",-1,0,39529
"101180699934084_27291","92886373210_101180699934084",-1,0,151609
"101180699934084_27292","92886373210_101180699934084",-1,0,129248
"101180699934084_27296","92886373210_101180699934084",-1,0,38136
"101180699934084_27300","92886373210_101180699934084",-1,0,84783
"101180699934084_27306","92886373210_101180699934084",-1,0,168601
"101180699934084_27310","92886373210_101180699934084",-1,0,159099
"101180699934084_27313","92886373210_101180699934084",-1,0,53152
"101180699934084_27314","92886373210_101180699934084",-1,0,135612
"101180699934084_27321","92886373210_101180699934084",-1,0,165240
"101180699934084_27322","92886373210_101180699934084",-1,0,71844
"101180699934084_27325","92886373210_101180699934084",-1,0,173613
"101180699934084_27328","92886373210_101180699934084",-1,0,122642
"101180699934084_27332","92886373210_101180699934084",-1,0,148103
"101180699934084_27332","92886373210_101180699934084",-1,1,99041
"101180699934084_27337","92886373210_101180699934084",-1,0,102893
"101180699934084_27341","92886373210_101180699934084",-1,0,170750
"101180699934084_27342","92886373210_101180699934084",-1,0,172716
"101180699934084_27343","92886373210_101180699934084",-1,0,140505
"101180699934084_27347","92886373210_101180699934084",-1,0,79578
"101180699934084_27356","92886373210_101180699934084",-1,0,116244
"101180699934084_27361","92886373210_101180699934084",-1,0,144288
"101180699934084_27361","92886373210_101180699934084",-1,1,139197
"101180699934084_27363","92886373210_101180699934084",-1,0,160449
"101180699934084_27372","92886373210_101180699934084",-1,0,110959
"101180699934084_27372","92886373210_101180699934084",-1,1,71395
"101180699934084_27381","92886373210_101180699934084",-1,0,171993
"101180699934084_27389","92886373210_101180699934084",-1,0,111792
"101180699934084_27399","92886373210_101180699934084",-1,0,58520
"101180699934084_27400","92886373210_101180699934084",-1,0,69349
"101180699934084_27406","92886373210_101180699934084",-1,0,13488
"101180699934084_27411","92886373210_101180699934084",-1,0,20537
"101180699934084_27412","92886373210_101180699934084",-1,0,123790
"101180699934084_27428","92886373210_101180699934084",-1,0,94338
"101180699934084_27429","92886373210_101180699934084",-1,0,56616
"101180699934084_27436","92886373210_101180699934084",-1,0,28346
"101180699934084_27442","92886373210_101180699934084",-1,0,128285
"101180699934084_27450","92886373210_101180699934084",-1,0,102032
"101180699934084_27453","92886373210_101180699934084",-1,0,52179
"101180699934084_27468","92886373210_101180699934084",-1,0,105652
"101180699934084_27483","92886373210_101180699934084",-1,0,130284
"101180699934084_27497","92886373210_101180699934084",-1,0,43932
"101180699934084_27501","92886373210_101180699934084",-1,0,81230
"101180699934084_27505","92886373210_101180699934084",-1,0,153310
"101180699934084_27509","92886373210_101180699934084",-1,0,121987
"101180699934084_27514","92886373210_101180699934084",-1,0,95839
"101180699934084_27518","92886373210_101180699934084",-1,0,59688
